sesion,zona,clase,tiene_mina,parche_x,parche_y,proba,proba_concuota
6,ZONA_CONTROL,Control,0,64,128,0.0028901662328280507,0.006779651634860784
6,ZONA_CONTROL,Control,0,128,128,0.006463464954867959,0.010456841881386935
6,ZONA_CONTROL,Control,0,192,128,0.002112300170119852,0.007336701778694987
6,ZONA_CONTROL,Control,0,256,128,0.00044268574565649034,0.002747869963059202
6,ZONA_CONTROL,Control,0,320,128,0.0004924850538372994,0.0009786784736206754
6,ZONA_CONTROL,Control,0,384,128,0.0004880362597759813,0.0018759854167001322
6,ZONA_CONTROL,Control,0,448,128,0.0009568580571794882,0.002465919277165085
6,ZONA_CONTROL,Control,0,512,128,0.0005798440412036143,0.0010771406639833003
6,ZONA_CONTROL,Control,0,576,128,0.0006019421110977419,0.0021801628259709104
6,ZONA_CONTROL,Control,0,640,128,0.004826729849446565,0.050425107078626755
6,ZONA_CONTROL,Control,0,704,128,0.0019139881012961268,0.02390924938954413
6,ZONA_CONTROL,Control,0,768,128,0.0012617118220077828,0.007886282436084002
6,ZONA_CONTROL,Control,0,832,128,0.0004742825229186565,0.006715561193414032
6,ZONA_CONTROL,Control,0,896,128,0.00028091569838579745,0.0015685182763263584
6,ZONA_CONTROL,Control,0,960,128,0.0008842973293212708,0.0020801498292712496
6,ZONA_CONTROL,Control,0,1024,128,0.0005610361346043647,0.001308660552604124
6,ZONA_CONTROL,Control,0,1088,128,0.00026969351893058047,0.0009692285559140146
6,ZONA_CONTROL,Control,0,0,192,0.0004867672614636831,0.0014121368352789433
6,ZONA_CONTROL,Control,0,64,192,0.0007319783762795851,0.0015388408559374512
6,ZONA_CONTROL,Control,0,128,192,0.0008407245972193777,0.0025192003755364566
6,ZONA_CONTROL,Control,0,192,192,0.001758315204642713,0.004048300476279109
6,ZONA_CONTROL,Control,0,256,192,0.0016258641378954052,0.006633864308241755
6,ZONA_CONTROL,Control,0,320,192,0.000761879634228535,0.001954722838127054
6,ZONA_CONTROL,Control,0,384,192,0.0009515516692772507,0.003383081837091595
6,ZONA_CONTROL,Control,0,448,192,0.0007115081014489987,0.00407175964792259
6,ZONA_CONTROL,Control,0,512,192,0.0006303802936599822,0.0023598674568347635
6,ZONA_CONTROL,Control,0,576,192,0.0008351010590558871,0.006966763932723552
6,ZONA_CONTROL,Control,0,640,192,0.0631443940103054,0.1294434478506446
6,ZONA_CONTROL,Control,0,704,192,0.10351579189300537,0.18265670128166675
6,ZONA_CONTROL,Control,0,768,192,0.004117163550108671,0.0104398773284629
6,ZONA_CONTROL,Control,0,832,192,0.0003490879629680421,0.003231323149520904
6,ZONA_CONTROL,Control,0,896,192,0.00029941432585474105,0.0011361408163793386
6,ZONA_CONTROL,Control,0,960,192,0.0009155619554803707,0.0019352427567355334
6,ZONA_CONTROL,Control,0,1024,192,0.0006316990460618399,0.0017154935107100756
6,ZONA_CONTROL,Control,0,1088,192,0.0002776227571303025,0.0021312837954610584
6,ZONA_CONTROL,Control,0,0,256,8.566738761146553e-05,0.00031457386940019204
6,ZONA_CONTROL,Control,0,64,256,0.00042390382004668935,0.004906807810766622
6,ZONA_CONTROL,Control,0,128,256,0.0008813610329525545,0.011017424718011171
6,ZONA_CONTROL,Control,0,192,256,0.0018047541583655403,0.010128926462493837
6,ZONA_CONTROL,Control,0,256,256,0.002800137113081291,0.01596863609738648
6,ZONA_CONTROL,Control,0,320,256,0.0009529314091196283,0.0036045565968379377
6,ZONA_CONTROL,Control,0,384,256,0.0002961697675345931,0.0009487931529292837
6,ZONA_CONTROL,Control,0,448,256,0.0007436787920596544,0.0052750107017345725
6,ZONA_CONTROL,Control,0,512,256,0.001141410626587458,0.005152124166488648
6,ZONA_CONTROL,Control,0,576,256,0.0014689039118820802,0.007664333796128631
6,ZONA_CONTROL,Control,0,640,256,0.004146880813641474,0.016297660791315137
6,ZONA_CONTROL,Control,0,704,256,0.0027161558362422513,0.016998710902407767
6,ZONA_CONTROL,Control,0,768,256,0.0024383004289120435,0.00839098731521517
6,ZONA_CONTROL,Control,0,832,256,0.0005182629218325018,0.0015830590826226398
6,ZONA_CONTROL,Control,0,896,256,0.0008784442747128196,0.003158018397516571
6,ZONA_CONTROL,Control,0,960,256,0.00038999937823973595,0.0009506041940767318
6,ZONA_CONTROL,Control,0,1024,256,0.015276270732283593,0.03630720009095967
6,ZONA_CONTROL,Control,0,1088,256,0.004053861030843109,0.057296202471479776
6,ZONA_CONTROL,Control,0,0,320,0.010073507169727236,0.07822343676816672
6,ZONA_CONTROL,Control,0,64,320,0.0005639719980536029,0.013500412413850426
6,ZONA_CONTROL,Control,0,128,320,0.000794821124873124,0.0023269750527106225
6,ZONA_CONTROL,Control,0,192,320,0.0008855024876538664,0.002441853133495897
6,ZONA_CONTROL,Control,0,256,320,0.019896946847438812,0.2274263694882393
6,ZONA_CONTROL,Control,0,320,320,0.01253619598574005,0.06481076227501034
6,ZONA_CONTROL,Control,0,384,320,0.0013079780008411035,0.00335415750159882
6,ZONA_CONTROL,Control,0,448,320,0.000804901061928831,0.010809701681137086
6,ZONA_CONTROL,Control,0,512,320,0.0013648956548422575,0.003141939139459282
6,ZONA_CONTROL,Control,0,576,320,0.0016626455675577746,0.005295667238533497
6,ZONA_CONTROL,Control,0,640,320,0.004986076994100586,0.01893938039429486
6,ZONA_CONTROL,Control,0,704,320,0.0007460256369085982,0.006214216898661107
6,ZONA_CONTROL,Control,0,768,320,0.0007909896245109849,0.002925563938333653
6,ZONA_CONTROL,Control,0,832,320,0.001989693334326148,0.003793162654619664
6,ZONA_CONTROL,Control,0,896,320,0.0022313935536658392,0.005762524681631476
6,ZONA_CONTROL,Control,0,960,320,0.014045806042850018,0.17451016530394553
6,ZONA_CONTROL,Control,0,1024,320,0.04124266006983816,0.417389902472496
6,ZONA_CONTROL,Control,0,1088,320,0.011093650892144069,0.16168459933251142
6,ZONA_CONTROL,Control,0,0,384,0.16381700299680232,0.4328702509403229
6,ZONA_CONTROL,Control,0,64,384,0.00030133968975860627,0.0012018715409794823
6,ZONA_CONTROL,Control,0,128,384,0.0004963782252161763,0.000610043405322358
6,ZONA_CONTROL,Control,0,192,384,0.0010266173048876226,0.005888127099024132
6,ZONA_CONTROL,Control,0,256,384,0.001272578451607842,0.04122000222560018
6,ZONA_CONTROL,Control,0,320,384,0.00240217424579896,0.020196118392050266
6,ZONA_CONTROL,Control,0,384,384,0.0014834962144959717,0.0026160885987337678
6,ZONA_CONTROL,Control,0,448,384,0.0011298013443592936,0.01058898086193949
6,ZONA_CONTROL,Control,0,512,384,0.0019558135420084,0.0042474512476474045
6,ZONA_CONTROL,Control,0,576,384,0.003996139048831537,0.02293867712141946
6,ZONA_CONTROL,Control,0,640,384,0.005478346231393516,0.026791947660967708
6,ZONA_CONTROL,Control,0,704,384,0.0019116446055704728,0.014344460307620465
6,ZONA_CONTROL,Control,0,768,384,0.0005710852783522569,0.0036746608559042214
6,ZONA_CONTROL,Control,0,832,384,0.001186942370259203,0.016445026081055403
6,ZONA_CONTROL,Control,0,896,384,0.0018352350103668868,0.005529072275385261
6,ZONA_CONTROL,Control,0,960,384,0.008421533717773854,0.24182813800871372
6,ZONA_CONTROL,Control,0,1024,384,0.006435806211084127,0.09464622903615236
6,ZONA_CONTROL,Control,0,1088,384,0.0009681400406407192,0.004551324457861483
6,ZONA_CONTROL,Control,0,0,448,0.009241884847870096,0.030383146461099388
6,ZONA_CONTROL,Control,0,64,448,0.00178734099608846,0.005227268312592059
6,ZONA_CONTROL,Control,0,128,448,0.0005826326058013364,0.0009014289331389591
6,ZONA_CONTROL,Control,0,192,448,0.0069535160437226295,0.02926521091721952
6,ZONA_CONTROL,Control,0,256,448,0.0017481037764810025,0.06171402903273702
6,ZONA_CONTROL,Control,0,320,448,0.0006231807812582702,0.005693952576257289
6,ZONA_CONTROL,Control,0,384,448,0.0004232511764712399,0.0017885603418108075
6,ZONA_CONTROL,Control,0,448,448,0.0013048967550275848,0.004222942184424028
6,ZONA_CONTROL,Control,0,512,448,0.002257110265782103,0.012245475873351097
6,ZONA_CONTROL,Control,0,576,448,0.003190806828206405,0.01647582040168345
6,ZONA_CONTROL,Control,0,640,448,0.003179212153190747,0.025763691309839486
6,ZONA_CONTROL,Control,0,704,448,0.0015755209402414038,0.007703929347917438
6,ZONA_CONTROL,Control,0,768,448,0.004155222856206819,0.03083236888051033
6,ZONA_CONTROL,Control,0,832,448,0.0007079967035679147,0.0038467868464067577
6,ZONA_CONTROL,Control,0,896,448,0.0006982294908084441,0.00152748572290875
6,ZONA_CONTROL,Control,0,960,448,0.0007492992037441582,0.002498091128654778
6,ZONA_CONTROL,Control,0,1024,448,0.001162232767092064,0.0019477499648928643
6,ZONA_CONTROL,Control,0,1088,448,0.00034114720765501263,0.0006584853428648785
6,ZONA_CONTROL,Control,0,0,512,0.0010464038350619376,0.0033018267014995216
6,ZONA_CONTROL,Control,0,64,512,0.0022845143335871398,0.007823945954442024
6,ZONA_CONTROL,Control,0,128,512,0.0003616740228608251,0.0014535326801706106
6,ZONA_CONTROL,Control,0,192,512,0.002642596565419808,0.08100177804008127
6,ZONA_CONTROL,Control,0,256,512,0.007988000134355388,0.1828544046729803
6,ZONA_CONTROL,Control,0,320,512,0.0005038148578023538,0.0037717875791713597
6,ZONA_CONTROL,Control,0,384,512,0.0035381110152229666,0.08883607219904661
6,ZONA_CONTROL,Control,0,448,512,0.0031514148111455144,0.02321667820215225
6,ZONA_CONTROL,Control,0,512,512,0.009256572707090526,0.013850645092315973
6,ZONA_CONTROL,Control,0,576,512,0.004352470161393285,0.009429969498887658
6,ZONA_CONTROL,Control,0,640,512,0.005797054199501872,0.01862936615943909
6,ZONA_CONTROL,Control,0,704,512,0.003966329604736529,0.024355582101270555
6,ZONA_CONTROL,Control,0,768,512,0.0009440096866455861,0.004986516869394109
6,ZONA_CONTROL,Control,0,832,512,0.05769880246371031,0.4605199217796326
6,ZONA_CONTROL,Control,0,896,512,0.12214047415181994,0.5055644229054451
6,ZONA_CONTROL,Control,0,960,512,0.026009047747356816,0.08954103887081147
6,ZONA_CONTROL,Control,0,1024,512,0.0007341536780586466,0.0022588626306969672
6,ZONA_CONTROL,Control,0,1088,512,0.000221149228309514,0.0012284626573091373
6,ZONA_CONTROL,Control,0,0,576,0.0004914588804240339,0.0011890622437931598
6,ZONA_CONTROL,Control,0,64,576,0.0003995867213234305,0.000924368851701729
6,ZONA_CONTROL,Control,0,128,576,0.00016924557821766938,0.000897772834287025
6,ZONA_CONTROL,Control,0,192,576,0.0008444828301435337,0.008612281165551395
6,ZONA_CONTROL,Control,0,256,576,0.0032193484890740364,0.08147981315851212
6,ZONA_CONTROL,Control,0,320,576,0.001051970140542835,0.045738120563328266
6,ZONA_CONTROL,Control,0,384,576,0.0035333262057974935,0.10524499583989382
6,ZONA_CONTROL,Control,0,448,576,0.03973338562063873,0.18095493651926517
6,ZONA_CONTROL,Control,0,512,576,0.0032870463270228355,0.0037651770981028676
6,ZONA_CONTROL,Control,0,576,576,0.007244511123280973,0.006613918393850326
6,ZONA_CONTROL,Control,0,640,576,0.007638014329131693,0.031244593672454357
6,ZONA_CONTROL,Control,0,704,576,0.0036948805092833934,0.024331315886229277
6,ZONA_CONTROL,Control,0,768,576,0.00029874392930651084,0.0013306597858900205
6,ZONA_CONTROL,Control,0,832,576,0.009035253687761724,0.3589900478720665
6,ZONA_CONTROL,Control,0,896,576,0.043750510190147904,0.21831510290503503
6,ZONA_CONTROL,Control,0,960,576,0.0039830796711612495,0.05930162658914924
6,ZONA_CONTROL,Control,0,1024,576,0.0001264814771275269,0.0007461773449904286
6,ZONA_CONTROL,Control,0,1088,576,0.0001334394226432778,0.0009127644181717188
6,ZONA_CONTROL,Control,0,0,640,0.0001358293531666277,0.0004753506102133542
6,ZONA_CONTROL,Control,0,64,640,0.0004331425188865978,0.0008356053527677432
6,ZONA_CONTROL,Control,0,128,640,0.00030207630261429584,0.0005861445621121675
6,ZONA_CONTROL,Control,0,192,640,0.0007516102268709801,0.006079992768354714
6,ZONA_CONTROL,Control,0,256,640,0.0012653914105612784,0.024946702271699907
6,ZONA_CONTROL,Control,0,320,640,0.0012517624360043555,0.02041405439376831
6,ZONA_CONTROL,Control,0,384,640,0.00488397084409371,0.0872940482571721
6,ZONA_CONTROL,Control,0,448,640,0.0025619962194468825,0.09384132456034422
6,ZONA_CONTROL,Control,0,512,640,0.009092983341543005,0.12679976727813483
6,ZONA_CONTROL,Control,0,576,640,0.018908647052012385,0.14015605854801833
6,ZONA_CONTROL,Control,0,640,640,0.004300680215237662,0.06741830594837665
6,ZONA_CONTROL,Control,0,704,640,0.004013732448220253,0.04496991788037121
6,ZONA_CONTROL,Control,0,768,640,0.00025595740371500144,0.017162804119288923
6,ZONA_CONTROL,Control,0,832,640,0.03994155491236597,0.2114836324006319
6,ZONA_CONTROL,Control,0,896,640,0.02972080821637064,0.02966741966083646
6,ZONA_CONTROL,Control,0,960,640,0.00026593575967126526,0.001629742790828459
6,ZONA_CONTROL,Control,0,1024,640,0.0001251162055268651,0.0005710329802241177
6,ZONA_CONTROL,Control,0,1088,640,7.669749611523002e-05,0.0004497483343584463
6,ZONA_CONTROL,Control,0,0,704,5.637231733999215e-05,0.00017274889396503567
6,ZONA_CONTROL,Control,0,64,704,0.0006179689029522706,0.0014427258603973315
6,ZONA_CONTROL,Control,0,128,704,0.0004568720054521691,0.0012005759635940194
6,ZONA_CONTROL,Control,0,192,704,0.0006197632610565051,0.004578497330658138
6,ZONA_CONTROL,Control,0,256,704,0.0008661806044983677,0.003709520143456757
6,ZONA_CONTROL,Control,0,320,704,0.0012701328581897543,0.006315450160764157
6,ZONA_CONTROL,Control,0,384,704,0.0022497181547805668,0.03178605940192938
6,ZONA_CONTROL,Control,0,448,704,0.008979577128775418,0.1783137958496809
